Reservoir,Site_code,Site_number,Depth_m,Date,SampleName,Vial,18O,18O_1sd,2H,2H_1sd,Run_Date,Run_Name
CCR,CC4,88,12,2/17/2025,CC4 17feb25 BOT,6,-5.29,0.02,-30.8,0.31,3/14/2025,CCR1
CCR,C50,50,20,2/17/2025,C50 17feb25 20m,7,-5.23,0.06,-30.5,0.16,3/14/2025,CCR1
CCR,C50,50,6,2/17/2025,C50 17feb25 6m,8,-5.3,0.05,-30.5,0.24,3/14/2025,CCR1
CCR,CC4,88,1.5,2/17/2025,CC4 17feb25 1.5m,10,-5.31,0.05,-30.4,0.1,3/14/2025,CCR1
CCR,CC3,90,0.1,8/15/2024,CC3 15aug24 0.1m,11,-4.16,0.07,-25.8,0.06,3/14/2025,CCR1
CCR,CP1,98,1,2/17/2025,CP1 17feb25 BOT,12,-6.41,0.06,-35.6,0.09,3/14/2025,CCR1
CCR,CC5,88,13,5/22/2024,CC5 22may24 13m,13,-5.47,0.05,-32.1,0.15,3/14/2025,CCR1
CCR,CC2,92,2,5/22/2024,CC2 22may24 BOT,14,-5.19,0.05,-31,0.1,3/14/2025,CCR1
CCR,CP2,96,1.7,2/17/2025,CP2 17feb25 BOT,15,-5.2,0.1,-31.2,0.3,3/14/2025,CCR1
CCR,CS1,101,0.1,8/15/2024,CS1 15aug24 0.1m,16,-6.36,0.02,-37.6,0.26,3/14/2025,CCR1
CCR,CC2,92,2,2/17/2025,CC2 17feb25 BOT,17,-5.13,0.06,-31,0.17,3/14/2025,CCR1
CCR,CS1,101,0.1,2/17/2025,CS1 17feb25 0.1m,19,-6.64,0.04,-37.5,0.18,3/14/2025,CCR1
CCR,CC2,92,0.1,2/17/2025,CC2 17feb25 0.1m,20,-5.16,0.03,-31.1,0.24,3/14/2025,CCR1
CCR,CS1,101,0.1,5/22/2024,CS1 22may24 0.1m,21,-6.84,0.05,-38.9,0.19,3/14/2025,CCR1
CCR,CP1,98,0.1,2/17/2025,CP1 17feb25 0.1m,22,-6.65,0.05,-37.6,0.26,3/14/2025,CCR1
CCR,CP2,96,0.1,2/17/2025,CP2 17feb25 0.1m,23,-6.4,0.05,-36.6,0.1,3/14/2025,CCR1
CCR,CC3,90,5,2/17/2025,CC3 17feb25 BOT,24,-5.13,0.07,-30.9,0.22,3/14/2025,CCR1
CCR,CS1,101,0.1,8/15/2024,CS1 15aug24 0.1m - DUP,25,-6.31,0.04,-37.7,0.15,3/14/2025,CCR1
CCR,CC4,88,0.1,2/17/2025,CC4 17feb25 0.1m,6,-5.26,0.05,-31.2,0.07,3/17/2025,CCR2
CCR,CC4,88,10,9/16/2024,CC4 16sep24 BOT,7,-5.39,0.06,-31.9,0.12,3/17/2025,CCR2
CCR,CC4,88,6,2/17/2025,CC4 17feb25 6m,8,-5.2,0.04,-31.1,0.03,3/17/2025,CCR2
CCR,CC3,90,1.5,2/17/2025,CC3 17feb25 1.5m,10,-5.17,0.05,-30.9,0.3,3/17/2025,CCR2
CCR,CC2,92,0.1,9/16/2024,CC2 16sep24 0.1m,11,-4.34,0.02,-26.8,0.1,3/17/2025,CCR2
CCR,CS1,101,0.1,9/30/2024,CS1 30sep24 0.1m,12,-6.03,0.08,-31.5,0.18,3/17/2025,CCR2
CCR,CC2,92,0.5,8/15/2024,CC2 15aug24 BOT,13,-4.06,0.02,-26.1,0.39,3/17/2025,CCR2
CCR,CC4,88,6,9/16/2024,CC4 16sep24 6m,14,-3.75,0.04,-25.2,0.24,3/17/2025,CCR2
CCR,CS2,100,0.1,8/15/2024,CS2 15aug24 0.1m,15,-6.38,0.03,-37.7,0.3,3/17/2025,CCR2
CCR,CC4,88,9,9/16/2024,CC4 16sep24 9m,16,-5.12,0.05,-31.4,0.13,3/17/2025,CCR2
CCR,CS1,101,0.1,9/16/2024,CS1 16sep24 0.1m,17,-5.68,0.05,-33.2,0.25,3/17/2025,CCR2
CCR,CCR,NA,NA,NA,CCR rain 19aug24 R1,19,-5.12,0.03,-31,0.17,3/17/2025,CCR2
CCR,CP1,98,0.1,8/15/2024,CP1 15aug24 0.1m,20,-5.41,0.03,-33.4,0.22,3/17/2025,CCR2
CCR,CC2,92,0.1,5/22/2024,CC2 22may24 0.1m,21,-5.03,0.03,-31,0.12,3/17/2025,CCR2
CCR,CS2,100,0.1,10/28/2024,CS2 28oct24 0.1m,22,-6.03,0.02,-35,0.16,3/17/2025,CCR2
CCR,CC2,92,0.1,9/30/2024,CC2 30sep24 0.1m,23,-3.91,0.07,-25.5,0.12,3/17/2025,CCR2
CCR,CS2,100,0.1,9/30/2024,CS2 30sep24 0.1m,24,-5.91,0.02,-31.8,0.16,3/17/2025,CCR2
CCR,CC4,88,9,9/16/2024,CC4 16sep24 9m - DUP,25,-5.07,0.03,-31.6,0.08,3/17/2025,CCR2
CCR,CC4,88,11,9/30/2024,CC4 30sep24 BOT,6,-5.36,0.07,-31,0.23,3/18/2025,CCR3
CCR,CS1,101,0.1,10/28/2024,CS1 28oct24 0.1m,7,-6.39,0.05,-34.5,0.11,3/18/2025,CCR3
CCR,CC2,92,0.5,10/28/2024,CC2 28oct24 BOT,8,-4.5,0.05,-25.3,0.14,3/18/2025,CCR3
CCR,CC4,88,1.5,9/30/2024,CC4 30sep24 1.5m,10,-4.17,0.13,-24.4,0.4,3/18/2025,CCR3
CCR,CC2,92,0.6,9/30/2024,CC2 30sep24 BOT,11,-4.23,0.05,-24.7,0.1,3/18/2025,CCR3
CCR,CCR,NA,NA,NA,CCR rain 30sep24,12,-4.61,0.06,-19.2,0.14,3/18/2025,CCR3
CCR,CC4,88,0.1,9/30/2024,CC4 30sep24 0.1m,13,-4.07,0.03,-24.8,0.05,3/18/2025,CCR3
CCR,CC3,90,4,9/30/2024,CC3 30sep24 BOT,14,-4.04,0.05,-24.9,0.04,3/18/2025,CCR3
CCR,CC4,88,0.1,9/16/2024,CC4 16sep24 0.1m,15,-3.89,0.04,-24.9,0.24,3/18/2025,CCR3
CCR,C50,50,9,2/17/2025,C50 17feb25 9m,16,-5.26,0.04,-31,0.21,3/18/2025,CCR3
CCR,CC3,90,1.5,9/16/2024,CC3 16sep24 1.5m,17,-3.79,0.06,-24.8,0.13,3/18/2025,CCR3
CCR,CC3,90,0.1,9/30/2024,CC3 30sep24 0.1m,19,-3.9,0.04,-24.7,0.21,3/18/2025,CCR3
CCR,CC3,90,3,9/16/2024,CC3 16sep24 BOT,20,-3.81,0.06,-25.1,0.23,3/18/2025,CCR3
CCR,CC3,90,0.1,2/17/2025,CC3 17feb25 0.1m,21,-5.28,0.03,-31.5,0.15,3/18/2025,CCR3
CCR,CC3,90,0.1,9/16/2024,CC3 16sep24 0.1m,22,-3.72,0.02,-24.9,0.29,3/18/2025,CCR3
CCR,CS2,100,0.1,2/17/2025,CS2 17feb25 0.1m,23,-6.7,0.04,-37.9,0.08,3/18/2025,CCR3
CCR,C50,50,0.1,2/17/2025,C50 17feb25 0.1m,24,-5.08,0.04,-31,0.11,3/18/2025,CCR3
CCR,C50,50,9,2/17/2025,C50 17feb25 9m - DUP,25,-5.08,0.05,-31.1,0.21,3/18/2025,CCR3
