Wavelength nm.,MilliQ,CP1_19jun24_BOTr1,CC2_19jun24_BOTr1,CP2_19jun24_BOTr2,CC1_19jun24_01r1,CC3_19jun24_15r1,CP2_19jun24_01r2,CP1_19jun24_01r2,CC3_19jun24_BOTr1,CS2_19un24_01r1,CS1_19jun24_01r1,CC3_19jun24_01r2,CC1_19jun24_BOTr1,CC4_19jun24_15r1,CC3_19jun24_15r2,CC2_19jun24_BOTr2
190,0.009,0.502,0.402,0.435,0.422,0.376,0.443,0.43,0.416,0.358,0.34,0.387,0.397,0.396,0.392,0.389
191,0.007,0.466,0.366,0.396,0.38,0.344,0.409,0.398,0.378,0.351,0.327,0.353,0.361,0.36,0.359,0.352
192,0.008,0.43,0.334,0.364,0.348,0.317,0.376,0.367,0.345,0.343,0.319,0.319,0.33,0.328,0.327,0.319
193,0.007,0.391,0.301,0.331,0.312,0.284,0.341,0.333,0.311,0.334,0.309,0.288,0.296,0.293,0.294,0.286
194,0.006,0.359,0.275,0.305,0.285,0.259,0.313,0.308,0.284,0.327,0.302,0.263,0.27,0.269,0.267,0.261
195,0.006,0.33,0.252,0.279,0.259,0.235,0.289,0.282,0.259,0.321,0.294,0.239,0.246,0.245,0.242,0.238
196,0.006,0.305,0.232,0.259,0.237,0.216,0.268,0.261,0.239,0.315,0.289,0.219,0.226,0.224,0.221,0.219
197,0.005,0.284,0.215,0.24,0.219,0.198,0.249,0.242,0.221,0.309,0.284,0.201,0.208,0.205,0.203,0.202
198,0.005,0.265,0.198,0.224,0.202,0.183,0.233,0.226,0.206,0.304,0.278,0.185,0.193,0.189,0.187,0.187
199,0.005,0.249,0.186,0.211,0.188,0.171,0.219,0.213,0.193,0.301,0.275,0.172,0.181,0.176,0.175,0.174
200,0.005,0.235,0.174,0.2,0.176,0.161,0.206,0.202,0.182,0.296,0.271,0.161,0.17,0.164,0.163,0.164
201,0.004,0.223,0.163,0.189,0.164,0.151,0.195,0.191,0.171,0.291,0.267,0.151,0.16,0.154,0.153,0.153
202,0.003,0.212,0.154,0.18,0.155,0.143,0.185,0.182,0.163,0.286,0.263,0.143,0.151,0.145,0.144,0.145
203,0.004,0.203,0.148,0.173,0.147,0.135,0.177,0.175,0.155,0.282,0.258,0.136,0.144,0.138,0.136,0.138
204,0.003,0.194,0.141,0.165,0.14,0.129,0.169,0.168,0.148,0.276,0.253,0.129,0.137,0.131,0.129,0.132
205,0.002,0.187,0.134,0.159,0.133,0.123,0.162,0.162,0.142,0.271,0.248,0.123,0.131,0.125,0.123,0.126
206,0.002,0.181,0.129,0.154,0.128,0.118,0.156,0.157,0.137,0.265,0.243,0.118,0.126,0.12,0.118,0.121
207,0.002,0.175,0.125,0.149,0.123,0.114,0.151,0.152,0.132,0.259,0.237,0.114,0.122,0.115,0.113,0.117
208,0.002,0.17,0.121,0.145,0.118,0.11,0.146,0.148,0.128,0.252,0.232,0.11,0.118,0.111,0.109,0.113
209,0.002,0.165,0.116,0.141,0.114,0.106,0.141,0.144,0.123,0.244,0.225,0.106,0.114,0.107,0.106,0.11
210,0.002,0.161,0.113,0.137,0.11,0.103,0.137,0.141,0.12,0.236,0.218,0.103,0.111,0.104,0.102,0.106
211,0.002,0.156,0.11,0.134,0.107,0.1,0.133,0.137,0.117,0.227,0.211,0.1,0.108,0.1,0.099,0.104
212,0.002,0.152,0.107,0.131,0.104,0.096,0.129,0.134,0.113,0.218,0.203,0.097,0.105,0.097,0.096,0.101
213,0.001,0.148,0.104,0.127,0.101,0.093,0.125,0.13,0.11,0.208,0.195,0.095,0.102,0.094,0.093,0.098
214,0.001,0.144,0.101,0.124,0.098,0.091,0.121,0.127,0.107,0.198,0.186,0.092,0.099,0.091,0.09,0.095
215,0.001,0.14,0.098,0.121,0.095,0.088,0.118,0.124,0.104,0.187,0.178,0.089,0.096,0.089,0.088,0.093
216,0.001,0.137,0.096,0.119,0.092,0.086,0.115,0.121,0.101,0.176,0.169,0.087,0.094,0.086,0.086,0.09
217,0.001,0.134,0.094,0.117,0.09,0.084,0.112,0.119,0.099,0.166,0.161,0.085,0.092,0.084,0.084,0.088
218,0.001,0.131,0.092,0.114,0.088,0.082,0.11,0.117,0.096,0.157,0.153,0.083,0.09,0.082,0.082,0.086
219,0.001,0.128,0.09,0.112,0.086,0.08,0.107,0.114,0.094,0.147,0.145,0.081,0.088,0.08,0.08,0.084
220,0.001,0.125,0.088,0.11,0.084,0.078,0.105,0.112,0.092,0.139,0.138,0.079,0.086,0.078,0.078,0.083
221,0.001,0.122,0.086,0.108,0.082,0.076,0.103,0.11,0.09,0.13,0.131,0.077,0.084,0.076,0.076,0.081
222,0.001,0.119,0.084,0.107,0.08,0.075,0.1,0.108,0.088,0.122,0.125,0.076,0.083,0.075,0.075,0.079
223,0.001,0.117,0.083,0.105,0.079,0.073,0.098,0.106,0.086,0.115,0.118,0.074,0.081,0.073,0.074,0.078
224,0.001,0.114,0.081,0.103,0.077,0.072,0.097,0.105,0.084,0.107,0.113,0.073,0.08,0.072,0.072,0.076
225,0.001,0.112,0.08,0.101,0.076,0.071,0.095,0.103,0.083,0.101,0.108,0.072,0.078,0.071,0.07,0.075
226,0.001,0.109,0.078,0.1,0.074,0.069,0.093,0.101,0.081,0.095,0.103,0.07,0.077,0.069,0.069,0.074
227,0,0.107,0.077,0.098,0.072,0.068,0.091,0.099,0.08,0.089,0.098,0.068,0.075,0.068,0.068,0.072
228,0,0.104,0.075,0.096,0.071,0.066,0.089,0.098,0.078,0.084,0.094,0.067,0.074,0.067,0.066,0.071
229,0,0.102,0.074,0.095,0.07,0.065,0.088,0.096,0.077,0.08,0.09,0.066,0.073,0.065,0.065,0.07
230,0,0.1,0.073,0.093,0.068,0.064,0.086,0.094,0.075,0.075,0.086,0.064,0.072,0.064,0.064,0.068
231,0,0.098,0.072,0.092,0.067,0.063,0.084,0.093,0.074,0.072,0.084,0.063,0.07,0.063,0.063,0.067
232,0,0.096,0.07,0.091,0.066,0.062,0.083,0.091,0.072,0.069,0.081,0.062,0.069,0.062,0.062,0.066
233,0,0.094,0.069,0.089,0.065,0.06,0.081,0.09,0.071,0.066,0.078,0.061,0.068,0.061,0.061,0.065
234,0,0.093,0.068,0.088,0.064,0.06,0.08,0.089,0.07,0.063,0.076,0.06,0.067,0.06,0.06,0.064
235,0,0.091,0.067,0.086,0.063,0.059,0.079,0.087,0.069,0.061,0.074,0.059,0.066,0.059,0.059,0.063
236,0,0.089,0.066,0.085,0.062,0.058,0.078,0.086,0.068,0.059,0.072,0.058,0.065,0.058,0.058,0.062
237,0,0.088,0.065,0.084,0.061,0.057,0.076,0.085,0.067,0.057,0.07,0.057,0.064,0.057,0.057,0.061
238,0,0.087,0.064,0.083,0.06,0.056,0.075,0.084,0.066,0.056,0.069,0.056,0.063,0.056,0.056,0.06
239,0,0.085,0.063,0.082,0.059,0.055,0.074,0.082,0.065,0.055,0.068,0.055,0.062,0.055,0.055,0.06
240,0,0.084,0.063,0.081,0.058,0.054,0.073,0.081,0.064,0.054,0.066,0.055,0.062,0.055,0.054,0.059
241,0,0.083,0.062,0.08,0.058,0.054,0.073,0.081,0.064,0.053,0.065,0.054,0.061,0.054,0.054,0.058
242,0,0.082,0.061,0.079,0.057,0.053,0.072,0.08,0.063,0.051,0.064,0.053,0.06,0.053,0.053,0.058
243,0,0.081,0.06,0.078,0.056,0.053,0.071,0.079,0.062,0.051,0.063,0.053,0.059,0.053,0.052,0.057
244,0,0.081,0.06,0.077,0.056,0.052,0.07,0.078,0.061,0.05,0.062,0.052,0.059,0.052,0.052,0.057
245,0,0.08,0.059,0.077,0.055,0.051,0.07,0.077,0.061,0.049,0.062,0.052,0.058,0.052,0.051,0.056
246,0,0.079,0.059,0.076,0.055,0.051,0.069,0.077,0.06,0.049,0.061,0.051,0.058,0.051,0.051,0.055
247,0,0.078,0.058,0.075,0.054,0.051,0.068,0.076,0.059,0.048,0.06,0.051,0.057,0.051,0.05,0.055
248,0,0.078,0.057,0.075,0.054,0.05,0.068,0.075,0.059,0.047,0.059,0.05,0.057,0.05,0.05,0.054
249,0,0.077,0.057,0.074,0.053,0.05,0.067,0.075,0.059,0.047,0.059,0.05,0.056,0.05,0.05,0.054
250,0,0.077,0.057,0.074,0.053,0.049,0.067,0.075,0.058,0.047,0.058,0.05,0.056,0.049,0.049,0.054
251,0,0.077,0.056,0.074,0.053,0.049,0.066,0.074,0.058,0.046,0.058,0.05,0.055,0.049,0.049,0.053
252,0,0.076,0.056,0.073,0.052,0.049,0.066,0.073,0.057,0.046,0.057,0.049,0.055,0.049,0.049,0.053
253,0,0.076,0.055,0.072,0.052,0.048,0.066,0.073,0.057,0.045,0.057,0.049,0.055,0.048,0.048,0.053
254,0,0.075,0.055,0.072,0.051,0.048,0.065,0.072,0.056,0.045,0.056,0.048,0.054,0.048,0.048,0.052
255,0,0.075,0.055,0.071,0.051,0.048,0.065,0.072,0.056,0.045,0.056,0.048,0.054,0.048,0.047,0.052
256,0,0.075,0.054,0.071,0.051,0.047,0.065,0.072,0.056,0.044,0.055,0.048,0.053,0.047,0.047,0.051
257,0,0.074,0.054,0.07,0.051,0.047,0.064,0.071,0.055,0.044,0.055,0.048,0.053,0.047,0.047,0.051
258,0,0.074,0.053,0.07,0.05,0.047,0.064,0.071,0.055,0.044,0.055,0.047,0.052,0.046,0.046,0.051
259,0,0.073,0.053,0.069,0.05,0.046,0.063,0.07,0.055,0.043,0.054,0.047,0.052,0.046,0.046,0.05
260,0,0.073,0.053,0.069,0.049,0.046,0.063,0.07,0.054,0.043,0.054,0.047,0.051,0.046,0.046,0.05
261,0,0.073,0.052,0.068,0.049,0.046,0.063,0.069,0.054,0.043,0.053,0.046,0.051,0.046,0.045,0.049
262,0,0.072,0.052,0.068,0.048,0.045,0.062,0.069,0.053,0.042,0.053,0.046,0.051,0.045,0.045,0.049
263,0,0.072,0.051,0.067,0.048,0.045,0.062,0.068,0.053,0.042,0.053,0.045,0.05,0.045,0.044,0.048
264,0,0.071,0.05,0.066,0.048,0.044,0.061,0.067,0.052,0.042,0.052,0.045,0.049,0.044,0.044,0.048
265,0,0.07,0.05,0.066,0.047,0.044,0.061,0.067,0.051,0.041,0.051,0.044,0.049,0.044,0.043,0.047
266,0,0.069,0.049,0.065,0.046,0.043,0.06,0.066,0.051,0.041,0.051,0.044,0.048,0.043,0.043,0.047
267,0,0.069,0.049,0.064,0.046,0.042,0.059,0.065,0.05,0.04,0.05,0.043,0.048,0.042,0.042,0.046
268,0,0.068,0.048,0.063,0.045,0.042,0.059,0.064,0.05,0.04,0.05,0.042,0.047,0.042,0.041,0.045
269,0,0.067,0.047,0.063,0.045,0.041,0.058,0.064,0.049,0.04,0.049,0.042,0.046,0.041,0.041,0.045
270,0,0.066,0.047,0.062,0.044,0.041,0.057,0.063,0.048,0.039,0.049,0.041,0.046,0.041,0.04,0.044
271,0,0.065,0.046,0.061,0.043,0.04,0.057,0.062,0.048,0.039,0.048,0.04,0.045,0.04,0.039,0.043
272,0,0.064,0.045,0.06,0.043,0.039,0.056,0.061,0.047,0.038,0.048,0.039,0.044,0.039,0.039,0.043
273,0,0.063,0.044,0.059,0.042,0.039,0.055,0.06,0.046,0.038,0.047,0.039,0.043,0.038,0.038,0.042
274,0,0.063,0.044,0.059,0.041,0.038,0.054,0.059,0.046,0.038,0.047,0.038,0.043,0.038,0.037,0.041
275,0,0.062,0.043,0.058,0.04,0.037,0.054,0.058,0.045,0.037,0.047,0.037,0.042,0.037,0.037,0.04
276,0,0.061,0.042,0.057,0.04,0.036,0.053,0.057,0.044,0.037,0.046,0.037,0.041,0.036,0.036,0.04
277,0,0.06,0.041,0.056,0.039,0.035,0.052,0.057,0.043,0.036,0.046,0.036,0.04,0.036,0.035,0.039
278,0,0.059,0.04,0.055,0.038,0.035,0.051,0.056,0.043,0.036,0.045,0.035,0.04,0.035,0.034,0.038
279,0,0.058,0.04,0.054,0.037,0.034,0.05,0.055,0.042,0.035,0.045,0.034,0.039,0.034,0.033,0.038
280,0,0.057,0.039,0.053,0.037,0.033,0.049,0.054,0.041,0.035,0.044,0.033,0.038,0.033,0.033,0.037
281,0,0.056,0.038,0.052,0.036,0.033,0.049,0.053,0.04,0.034,0.044,0.033,0.037,0.033,0.032,0.036
282,0,0.055,0.037,0.051,0.035,0.032,0.048,0.052,0.04,0.034,0.043,0.032,0.036,0.032,0.031,0.035
283,0,0.054,0.037,0.051,0.034,0.031,0.047,0.051,0.039,0.033,0.043,0.031,0.036,0.031,0.031,0.034
284,0,0.053,0.036,0.05,0.033,0.031,0.046,0.05,0.038,0.033,0.042,0.031,0.035,0.031,0.03,0.034
285,0,0.052,0.035,0.049,0.033,0.03,0.045,0.049,0.038,0.032,0.042,0.03,0.034,0.03,0.029,0.033
286,0,0.051,0.034,0.048,0.032,0.029,0.044,0.048,0.037,0.032,0.041,0.029,0.033,0.029,0.028,0.032
287,0,0.05,0.034,0.047,0.031,0.028,0.043,0.047,0.036,0.031,0.041,0.028,0.033,0.028,0.028,0.032
288,0,0.049,0.033,0.046,0.031,0.028,0.042,0.046,0.035,0.031,0.04,0.027,0.032,0.028,0.027,0.031
289,0,0.049,0.032,0.046,0.03,0.027,0.041,0.046,0.035,0.031,0.04,0.027,0.031,0.027,0.026,0.03
290,0,0.047,0.031,0.045,0.029,0.027,0.041,0.045,0.034,0.03,0.039,0.026,0.031,0.026,0.026,0.029
291,0,0.046,0.031,0.044,0.028,0.026,0.04,0.044,0.033,0.03,0.038,0.025,0.03,0.025,0.025,0.029
292,0,0.045,0.03,0.043,0.028,0.025,0.039,0.043,0.032,0.029,0.038,0.025,0.029,0.025,0.024,0.028
293,0,0.045,0.029,0.042,0.027,0.024,0.038,0.042,0.032,0.029,0.037,0.024,0.028,0.024,0.024,0.027
294,0,0.044,0.028,0.041,0.026,0.023,0.037,0.041,0.031,0.028,0.037,0.023,0.027,0.023,0.023,0.026
295,0,0.043,0.028,0.041,0.025,0.023,0.036,0.04,0.03,0.028,0.036,0.023,0.027,0.023,0.022,0.026
296,0,0.042,0.027,0.04,0.025,0.022,0.035,0.04,0.03,0.027,0.036,0.022,0.026,0.022,0.022,0.025
297,0,0.042,0.027,0.039,0.024,0.022,0.035,0.039,0.029,0.027,0.036,0.022,0.026,0.022,0.021,0.025
298,0,0.041,0.026,0.039,0.024,0.022,0.034,0.039,0.029,0.027,0.035,0.022,0.026,0.021,0.021,0.024
299,0,0.04,0.026,0.038,0.023,0.021,0.033,0.038,0.028,0.026,0.035,0.021,0.025,0.021,0.02,0.024
300,0,0.039,0.025,0.038,0.023,0.02,0.033,0.037,0.028,0.026,0.034,0.02,0.024,0.02,0.02,0.023
301,0,0.039,0.025,0.037,0.022,0.02,0.032,0.037,0.027,0.026,0.034,0.02,0.024,0.02,0.019,0.023
302,0,0.038,0.024,0.036,0.022,0.02,0.031,0.036,0.027,0.025,0.033,0.019,0.023,0.02,0.019,0.022
303,0,0.037,0.024,0.036,0.021,0.019,0.031,0.035,0.026,0.025,0.033,0.019,0.023,0.019,0.018,0.022
304,0,0.037,0.023,0.035,0.02,0.019,0.03,0.035,0.026,0.024,0.032,0.018,0.022,0.018,0.018,0.021
305,0,0.036,0.023,0.035,0.02,0.018,0.029,0.034,0.025,0.024,0.032,0.018,0.022,0.018,0.018,0.021
306,0,0.035,0.022,0.034,0.02,0.018,0.029,0.033,0.024,0.024,0.031,0.018,0.021,0.017,0.017,0.02
307,0,0.035,0.022,0.034,0.019,0.018,0.029,0.033,0.024,0.024,0.031,0.017,0.021,0.017,0.017,0.02
308,0,0.034,0.021,0.033,0.019,0.017,0.028,0.033,0.024,0.023,0.031,0.017,0.021,0.017,0.016,0.02
309,0,0.034,0.021,0.033,0.018,0.017,0.027,0.032,0.024,0.023,0.03,0.017,0.02,0.017,0.016,0.019
310,0,0.033,0.02,0.032,0.018,0.016,0.027,0.031,0.023,0.022,0.03,0.016,0.02,0.016,0.016,0.019
311,0,0.032,0.02,0.032,0.018,0.016,0.026,0.031,0.022,0.022,0.029,0.016,0.019,0.016,0.015,0.018
312,0,0.032,0.02,0.031,0.017,0.016,0.026,0.03,0.023,0.022,0.029,0.016,0.019,0.016,0.015,0.018
313,0,0.032,0.019,0.031,0.017,0.016,0.025,0.03,0.022,0.022,0.029,0.015,0.019,0.015,0.014,0.018
314,0,0.031,0.019,0.03,0.017,0.015,0.025,0.03,0.022,0.021,0.028,0.015,0.018,0.015,0.014,0.017
315,0,0.031,0.019,0.03,0.016,0.015,0.024,0.029,0.021,0.021,0.028,0.015,0.018,0.015,0.014,0.017
316,0,0.03,0.018,0.03,0.016,0.014,0.024,0.029,0.021,0.021,0.028,0.014,0.018,0.014,0.014,0.017
317,0,0.03,0.018,0.029,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.014,0.013,0.016
318,0,0.029,0.018,0.029,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.014,0.013,0.016
319,0,0.029,0.017,0.028,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.013,0.013,0.016
320,-0.001,0.029,0.017,0.028,0.015,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.013,0.013,0.016
321,0,0.028,0.017,0.028,0.015,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.013,0.012,0.015
322,0,0.028,0.017,0.027,0.014,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.012,0.012,0.015
323,0,0.027,0.016,0.027,0.014,0.013,0.021,0.026,0.018,0.019,0.025,0.013,0.016,0.012,0.012,0.015
324,0,0.027,0.016,0.027,0.014,0.013,0.021,0.026,0.019,0.019,0.025,0.013,0.015,0.012,0.012,0.015
325,0,0.027,0.016,0.026,0.014,0.012,0.021,0.025,0.018,0.018,0.025,0.012,0.015,0.012,0.011,0.014
326,0,0.026,0.016,0.026,0.014,0.012,0.02,0.025,0.018,0.018,0.024,0.012,0.015,0.012,0.011,0.014
327,0,0.026,0.016,0.026,0.013,0.012,0.021,0.025,0.018,0.018,0.024,0.012,0.015,0.012,0.011,0.014
328,0,0.026,0.015,0.026,0.013,0.011,0.02,0.024,0.017,0.018,0.024,0.012,0.014,0.011,0.011,0.014
329,0,0.025,0.015,0.025,0.013,0.011,0.02,0.024,0.017,0.017,0.023,0.011,0.014,0.011,0.011,0.014
330,0,0.025,0.015,0.025,0.012,0.011,0.019,0.024,0.017,0.017,0.023,0.011,0.014,0.011,0.01,0.013
331,0,0.025,0.014,0.024,0.012,0.011,0.019,0.024,0.016,0.017,0.023,0.011,0.013,0.01,0.01,0.013
332,0,0.024,0.014,0.024,0.012,0.011,0.019,0.023,0.016,0.017,0.022,0.011,0.013,0.01,0.01,0.013
333,0,0.024,0.014,0.024,0.012,0.011,0.019,0.023,0.016,0.017,0.022,0.011,0.013,0.011,0.01,0.013
334,0,0.024,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.022,0.01,0.013,0.01,0.01,0.012
335,0,0.023,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.022,0.01,0.013,0.01,0.01,0.012
336,0,0.023,0.013,0.023,0.011,0.01,0.018,0.022,0.016,0.015,0.021,0.01,0.013,0.01,0.009,0.012
337,0,0.023,0.013,0.023,0.011,0.01,0.017,0.022,0.015,0.015,0.021,0.01,0.012,0.009,0.009,0.012
338,0,0.022,0.012,0.022,0.011,0.009,0.017,0.021,0.015,0.015,0.021,0.01,0.012,0.009,0.009,0.011
339,0,0.023,0.013,0.022,0.011,0.01,0.017,0.021,0.015,0.015,0.021,0.01,0.012,0.01,0.009,0.012
340,0.001,0.023,0.014,0.023,0.012,0.01,0.018,0.022,0.016,0.016,0.021,0.01,0.013,0.01,0.009,0.012
341,0,0.021,0.012,0.021,0.01,0.009,0.016,0.02,0.014,0.015,0.02,0.009,0.011,0.008,0.008,0.011
342,0,0.021,0.012,0.021,0.01,0.009,0.016,0.02,0.014,0.014,0.019,0.009,0.011,0.008,0.008,0.011
343,-0.001,0.021,0.012,0.021,0.01,0.009,0.016,0.019,0.014,0.014,0.019,0.009,0.011,0.008,0.008,0.011
344,-0.001,0.021,0.012,0.021,0.01,0.009,0.015,0.019,0.013,0.014,0.019,0.009,0.011,0.008,0.007,0.01
345,-0.001,0.02,0.011,0.02,0.009,0.008,0.015,0.019,0.013,0.013,0.019,0.008,0.01,0.008,0.007,0.01
346,0,0.02,0.011,0.02,0.009,0.008,0.015,0.019,0.013,0.013,0.018,0.008,0.01,0.008,0.007,0.01
347,0,0.02,0.011,0.02,0.01,0.008,0.015,0.019,0.013,0.013,0.019,0.008,0.01,0.008,0.008,0.01
348,-0.001,0.02,0.011,0.019,0.009,0.008,0.014,0.018,0.013,0.013,0.018,0.008,0.01,0.008,0.007,0.009
349,-0.001,0.019,0.011,0.019,0.009,0.007,0.014,0.018,0.013,0.013,0.018,0.007,0.01,0.007,0.007,0.009
350,0,0.019,0.011,0.019,0.009,0.008,0.014,0.018,0.013,0.013,0.018,0.008,0.01,0.007,0.007,0.009
351,0,0.019,0.011,0.019,0.009,0.007,0.014,0.018,0.013,0.013,0.017,0.008,0.01,0.007,0.007,0.009
352,0,0.019,0.01,0.019,0.009,0.007,0.014,0.017,0.012,0.012,0.017,0.008,0.009,0.007,0.007,0.009
353,0,0.018,0.01,0.018,0.009,0.007,0.014,0.017,0.012,0.012,0.017,0.007,0.009,0.007,0.007,0.009
354,0,0.018,0.01,0.018,0.008,0.007,0.013,0.017,0.012,0.012,0.017,0.007,0.009,0.007,0.006,0.009
355,0,0.018,0.01,0.018,0.008,0.007,0.013,0.017,0.012,0.012,0.016,0.007,0.009,0.007,0.006,0.009
356,0,0.018,0.01,0.018,0.008,0.007,0.013,0.016,0.012,0.012,0.016,0.007,0.009,0.007,0.006,0.008
357,0,0.017,0.01,0.017,0.008,0.007,0.013,0.016,0.011,0.011,0.016,0.007,0.008,0.006,0.006,0.008
358,0,0.017,0.009,0.017,0.008,0.006,0.012,0.016,0.011,0.011,0.015,0.007,0.008,0.006,0.006,0.008
359,0,0.017,0.01,0.017,0.008,0.007,0.012,0.016,0.011,0.011,0.015,0.007,0.008,0.006,0.006,0.008
360,0,0.017,0.009,0.017,0.007,0.007,0.012,0.016,0.011,0.011,0.015,0.006,0.008,0.006,0.006,0.008
361,0,0.016,0.009,0.017,0.007,0.006,0.012,0.015,0.011,0.011,0.015,0.006,0.008,0.006,0.006,0.008
362,0,0.016,0.009,0.016,0.007,0.006,0.012,0.015,0.011,0.011,0.015,0.006,0.007,0.006,0.005,0.007
363,0,0.016,0.009,0.016,0.007,0.006,0.012,0.015,0.01,0.01,0.015,0.006,0.007,0.006,0.005,0.007
364,0,0.016,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
365,0,0.016,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
366,0,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
367,0,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
368,-0.001,0.015,0.008,0.016,0.007,0.006,0.011,0.014,0.01,0.01,0.014,0.006,0.007,0.005,0.005,0.007
369,0,0.015,0.008,0.015,0.006,0.006,0.011,0.014,0.01,0.01,0.013,0.005,0.007,0.005,0.005,0.007
370,-0.001,0.015,0.008,0.015,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
371,-0.001,0.014,0.008,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
372,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
373,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.006,0.005,0.004,0.006
374,0,0.014,0.008,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.013,0.005,0.007,0.005,0.004,0.006
375,0,0.014,0.007,0.014,0.006,0.005,0.01,0.013,0.009,0.009,0.012,0.005,0.006,0.005,0.004,0.006
376,0,0.014,0.007,0.014,0.006,0.005,0.01,0.012,0.009,0.009,0.012,0.005,0.006,0.004,0.004,0.006
377,0,0.014,0.007,0.014,0.006,0.005,0.009,0.012,0.009,0.009,0.012,0.005,0.006,0.004,0.004,0.006
378,0,0.013,0.007,0.013,0.006,0.004,0.009,0.012,0.008,0.008,0.012,0.005,0.006,0.004,0.004,0.006
379,0,0.013,0.007,0.013,0.006,0.005,0.009,0.012,0.008,0.008,0.011,0.005,0.006,0.004,0.004,0.006
380,-0.001,0.013,0.007,0.013,0.005,0.004,0.009,0.012,0.008,0.008,0.011,0.005,0.005,0.004,0.004,0.005
381,0,0.013,0.007,0.013,0.005,0.004,0.009,0.012,0.008,0.008,0.012,0.005,0.006,0.004,0.004,0.006
382,0,0.012,0.006,0.013,0.005,0.004,0.009,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
383,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
384,0,0.012,0.006,0.012,0.005,0.004,0.008,0.011,0.008,0.008,0.011,0.004,0.005,0.004,0.004,0.005
