Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
614,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.005,0.001,0.009
615,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.009
616,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
617,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
618,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
619,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
620,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
621,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
622,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
623,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
624,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
625,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
626,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
627,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
628,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
629,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
630,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
631,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
632,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
633,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
634,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
635,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
636,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
637,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
638,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
639,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
640,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
641,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
642,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
643,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
644,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
645,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
646,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
647,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
648,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
649,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
650,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
651,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
652,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
653,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
654,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
655,0,0.004,0.001,0.001,0.001,0.002,0.001,0.007,0.004,0.001,0.008
656,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
657,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
658,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
659,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
660,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
661,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
662,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
663,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
664,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
665,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
666,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
667,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
668,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
669,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
670,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
671,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
672,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
673,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
674,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
675,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
676,0,0.004,0.001,0.001,0.001,0.001,0.001,0.007,0.004,0.001,0.008
677,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
678,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
679,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
680,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
681,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
682,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
683,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
684,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
685,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
686,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
687,0,0.004,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
688,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
689,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
690,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
691,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
692,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
693,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
694,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
695,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
696,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
697,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
698,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
699,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
700,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
701,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
702,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
703,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
704,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
705,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
706,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
707,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
708,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
709,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
710,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
711,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
712,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
713,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
714,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
715,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
716,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.008
717,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
718,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
719,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
720,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
721,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
722,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
723,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
724,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
725,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
726,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
727,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
728,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
729,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
730,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
731,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
732,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
733,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
734,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
735,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
736,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
737,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
738,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
739,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
740,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
741,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
742,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
743,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
744,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
745,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
746,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
747,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
748,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
749,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
750,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
751,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
752,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
753,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
754,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
755,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
756,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
757,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
758,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
759,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
760,0.001,0.004,0.002,0.002,0.001,0.002,0.002,0.008,0.005,0.002,0.008
761,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.004,0.001,0.007
762,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
763,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
764,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
765,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
766,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
767,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
768,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
769,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
770,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
771,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
772,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
773,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
774,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
775,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
776,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
777,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
778,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
779,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
780,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
781,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
782,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
783,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
784,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
785,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
786,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
787,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
788,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
789,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
790,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
791,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
792,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
793,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
794,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
795,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
796,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
797,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
798,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
799,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
800,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
801,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
802,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
803,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.007
804,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
805,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
806,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
807,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
808,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
809,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
810,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
811,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
812,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
813,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
814,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
815,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
816,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
817,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
818,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
819,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
820,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
821,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
822,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
823,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
824,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
825,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
826,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
827,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
828,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
829,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
830,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
831,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
832,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
833,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
834,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
835,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
836,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
837,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
838,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
839,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
840,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
841,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
842,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
843,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
844,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
845,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
846,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
847,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
848,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
849,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
850,0,0.003,0.001,0.001,0,0.001,0.001,0.007,0.003,0.001,0.006
