Reservoir,Site_code,Site_number,Depth_m,Date,SampleName,18O,18O_1sd,2H,2H_1sd,Run_Date,Run_Name
CCR,C50,50,0.1,5/22/2024,C50 22may24 0.1m,-4.995549025,0.033007325,-30.47053979,0.049227787,5/28/2025,CCR4
CCR,C50,50,1.5,5/22/2024,C50 22may24 1.5m,-5.114038908,0.068055997,-31.13485821,0.139487131,5/29/2025,CCR5
CCR,C50,50,20,5/22/2024,C50 22may24 20m,-5.378505489,0.046971274,-31.81401715,0.062299908,5/30/2025,CCR6
CCR,C50,50,6,5/22/2024,C50 22may24 6m,-5.334660637,0.017039077,-31.28004,0.050113269,5/30/2025,CCR6
CCR,C50,50,9,5/22/2024,C50 22may24 9m,-5.193265165,0.0413296,-33.04606175,0.16971188,6/2/2025,CCR7
CCR,CC3,90,0.1,5/22/2024,CC4 22may24 0.1m,-4.936379838,0.037213663,-30.54115201,0.107043652,5/28/2025,CCR4
CCR,CC3,90,1.5,5/22/2024,CC4 22may24 1.5m,-5.184325811,0.026589059,-30.54759946,0.088246561,5/30/2025,CCR6
CCR,CC3,90,6,5/22/2024,CC4 22may24 BOT,-5.339706258,0.01889721,-32.15692101,0.150066412,5/29/2025,CCR5
CCR,CC2,92,0.1,5/22/2024,CC2 22may24 0.1m,-5.028527821,0.034067355,-30.96600348,0.119322403,3/17/2025,CCR2
CCR,CC2,92,2,5/22/2024,CC2 22may24 BOT,-5.191600226,0.04678851,-30.99634441,0.100542925,3/14/2025,CCR1
CCR,CC1,94,0.1,5/22/2024,CC1 22may24 0.1m,-4.995535868,0.019055845,-30.70577261,0.220178555,6/9/2025,CCR12
CCR,CC1,94,1.5,5/22/2024,CC1 22may24 BOT,-4.981086376,0.042968063,-31.04465181,0.160996226,6/9/2025,CCR12
CCR,CP2,96,0.1,5/22/2024,CP2 22may24 0.1m,-4.893330629,0.033779085,-30.53684032,0.262695385,5/28/2025,CCR4
CCR,CP2,96,1.5,5/22/2024,CP2 22may24 BOT,-5.180295218,0.051374387,-30.79485232,0.22792584,5/29/2025,CCR5
CCR,CP1,98,0.1,5/22/2024,CP1 22may24 0.1m,-5.19159132,0.030283913,-30.98460392,0.025834071,5/29/2025,CCR5
CCR,CP1,98,0.5,5/22/2024,CP1 22may24 BOT,-6.10486486,0.05018959,-35.3615565,0.225472698,5/28/2025,CCR4
CCR,CS2,100,0.1,5/22/2024,CS2 22may24 0.1m,-6.758875013,0.034008888,-38.99862338,0.0733014,5/28/2025,CCR4
CCR,CS1,101,0.1,5/22/2024,CS1 22may24 0.1m,-6.844486664,0.052703737,-38.9191347,0.188468361,3/14/2025,CCR1
CCR,CC4,88,0.1,5/22/2024,CC5 22may24 0.1m,-5.060790748,0.050505023,-30.80309838,0.186089304,5/29/2025,CCR5
CCR,CC4,88,1.5,5/22/2024,CC5 22may24 1.5m,-5.023560092,0.072391351,-30.91526308,0.177310389,5/29/2025,CCR5
CCR,CC4,88,13,5/22/2024,CC5 22may24 13m,-5.474781844,0.054914288,-32.11288204,0.146336758,3/14/2025,CCR1
CCR,CC4,88,6,5/22/2024,CC5 22may24 6m,-5.288899437,0.022389873,-31.50302213,0.077363433,5/29/2025,CCR5
CCR,CC4,88,9,5/22/2024,CC5 22may24 9m,-5.43237469,0.041472016,-32.51076958,0.161569712,5/29/2025,CCR5
CCR,C50,50,0.1,6/19/2024,C50 19jun24 0.1m,-4.669238505,0.049883197,-28.49812266,0.190284384,6/4/2025,CCR9
CCR,C50,50,1.5,6/19/2024,C50 19jun24 1.5m,-4.571451035,0.037400157,-28.69572777,0.108105972,5/28/2025,CCR4
CCR,C50,50,20,6/19/2024,C50 19jun24 20m,-5.49437516,0.053813359,-32.02899032,0.125463779,5/30/2025,CCR6
CCR,C50,50,6,6/19/2024,C50 19jun24 6m,-5.131117869,0.055413645,-32.44205914,0.141976154,6/2/2025,CCR7
CCR,C50,50,9,6/19/2024,C50 19jun24 9m,-5.34318914,0.070262653,-32.63149556,0.307948974,6/3/2025,CCR8
CCR,CC4,88,13,6/19/2024,CC4 19jun24  BOT,-5.450574185,0.035796926,-31.93923,0.186612129,5/30/2025,CCR6
CCR,CC4,88,0.1,6/19/2024,CC4 19jun24 0.1m,-4.694803804,0.033874287,-28.65249446,0.192328063,6/3/2025,CCR8
CCR,CC4,88,1.5,6/19/2024,CC4 19jun24 1.5m,-4.541424162,0.034333136,-29.05957107,0.235334444,6/3/2025,CCR8
CCR,CC4,88,6,6/19/2024,CC4 19jun24 6m,-5.20173606,0.104190734,-31.19403295,0.188424767,6/2/2025,CCR7
CCR,CC4,88,9,6/19/2024,CC4 19jun24 9m,-5.292103913,0.043179274,-32.2327066,0.153264146,5/29/2025,CCR5
CCR,CC3,90,0.1,6/19/2024,CC3 19jun24 0.1m,-4.693734856,0.035112693,-28.97575156,0.053080342,5/29/2025,CCR5
CCR,CC3,90,1.5,6/19/2024,CC3 19jun24 1.5m,-4.80005327,0.058626043,-28.30650949,0.07316986,5/30/2025,CCR6
CCR,CC3,90,6,6/19/2024,CC3 19jun24 BOT,-4.80645073,0.032730728,-30.57377625,0.125332919,6/2/2025,CCR7
CCR,CC2,92,0.1,6/19/2024,CC2 19jun24 0.1m,-4.725342498,0.032625122,-28.90128741,0.163636007,5/28/2025,CCR4
CCR,CC2,92,1.5,6/19/2024,CC2 19jun24 BOT,-4.884750789,0.039482956,-28.52756045,0.237861215,5/30/2025,CCR6
CCR,CC1,94,0.1,6/19/2024,CC1 19jun24 0.1m,-4.655338133,0.038042036,-28.94475954,0.097816779,6/9/2025,CCR12
CCR,CC1,94,1,6/19/2024,CC1 19jun24 BOT,-4.644831749,0.041649652,-29.15398131,0.273493873,6/9/2025,CCR12
CCR,CP2,96,0.1,6/19/2024,CP2 19jun24 0.1m,-4.777355051,0.045967711,-28.899023,0.157409244,5/29/2025,CCR5
CCR,CP2,96,1,6/19/2024,CP2 19jun24 BOT,-4.957395167,0.06899551,-28.54816106,0.14971954,5/30/2025,CCR6
CCR,CP1,98,0.1,6/19/2024,CP1 19jun24 0.1m,-4.496117172,0.033379127,-29.19008706,0.127453254,6/2/2025,CCR7
CCR,CP1,98,0.3,6/19/2024,CP1 19jun24 BOT,-4.671290188,0.037985915,-30.15311862,0.182569634,6/2/2025,CCR7
CCR,CS2,100,0.1,6/19/2024,CS2 19jun24 0.1m,-6.462626804,0.045785634,-36.77873716,0.04089545,5/29/2025,CCR5
CCR,CS1,101,0.1,6/19/2024,CS1 19jun24 0.1m,-6.599631135,0.039229021,-36.73114302,0.135194183,5/29/2025,CCR5
CCR,C50,50,0.1,7/11/2024,C50 11jul24 0.1m,-4.313957944,0.027095589,-26.79143872,0.250451658,6/3/2025,CCR8
CCR,C50,50,1.5,7/11/2024,C50 11jul24 1.5m,-4.302495184,0.032867211,-27.04437644,0.123137694,6/4/2025,CCR9
CCR,C50,50,20,7/11/2024,C50 11jul24 20m,-5.226853441,0.040491197,-32.25823669,0.260509395,6/9/2025,CCR12
CCR,C50,50,6,7/11/2024,C50 11jul24 6m,-4.457052345,0.053036305,-27.81141748,0.256715314,6/4/2025,CCR9
CCR,C50,50,9,7/11/2024,C50 11jul24 9m,-5.154617492,0.048025323,-31.62354887,0.134325803,5/28/2025,CCR4
CCR,CC4,88,0.1,7/11/2024,CC4 11jul24 0.1m,-4.320213901,0.031266329,-26.87063304,0.117767653,6/3/2025,CCR8
CCR,CC4,88,1.5,7/11/2024,CC4 11jul24 1.5m,-4.358996612,0.044706938,-26.98818553,0.142131225,6/4/2025,CCR9
CCR,CC4,88,6,7/11/2024,CC4 11jul24 6m,-5.143037993,0.063921202,-31.16854697,0.076715471,6/3/2025,CCR8
CCR,CC4,88,9,7/11/2024,CC4 11jul24 9m,-5.318586084,0.034862981,-32.38302707,0.160386717,5/28/2025,CCR4
CCR,CC4,88,12,7/11/2024,CC4 11jul24 BOT,-5.455469451,0.06380892,-31.7338615,0.229799493,6/4/2025,CCR9
CCR,CC3,90,0.1,7/11/2024,CC3 11jul24 0.1m,-4.299139442,0.062596291,-27.29828768,0.085039893,6/3/2025,CCR8
CCR,CC3,90,1.5,7/11/2024,CC3 11jul24 1.5m,-4.379730813,0.038072125,-27.15622078,0.152564446,6/5/2025,CCR10
CCR,CC3,90,5,7/11/2024,CC3 11jul24 BOT,-4.353648931,0.051696095,-27.42465856,0.065718379,6/3/2025,CCR8
CCR,CC2,92,0.1,7/11/2024,CC2 11jul24 0.1m,-4.360688747,0.046408766,-27.25117134,0.096967932,6/5/2025,CCR10
CCR,CC2,92,1,7/11/2024,CC2 11jul24 BOT,-4.307047886,0.038709701,-27.13059373,0.165388215,6/4/2025,CCR9
CCR,CC1,94,0.1,7/11/2024,CC1 11jul24 0.1m,-4.270618318,0.017243393,-27.46549163,0.238188776,6/9/2025,CCR12
CCR,CC1,94,0.5,7/11/2024,CC1 11jul24 BOT,-4.273924568,0.049208957,-27.34249996,0.218895683,6/9/2025,CCR12
CCR,CP2,96,0.1,7/11/2024,CP2 11jul24 0.1m,-4.241648899,0.019616811,-27.44270845,0.204362757,6/3/2025,CCR8
CCR,CP2,96,0.5,7/11/2024,CP2 11jul24 BOT,-4.295729911,0.037583072,-27.55382628,0.225979929,6/3/2025,CCR8
CCR,CP1,98,0.1,7/11/2024,CP1 11jul24 0.1m,-5.389935382,0.0943326,-30.55400624,0.273347559,6/3/2025,CCR8
CCR,CS2,100,0.1,7/11/2024,CS2 11jul24 0.1m,-5.889462298,0.033630166,-32.72991361,0.160865343,6/4/2025,CCR9
CCR,CS1,101,0.1,7/11/2024,CS1 11jul24 0.1m,-5.930409702,0.018409635,-33.13066869,0.212469757,6/6/2025,CCR11
CCR,C50,50,0.1,8/14/2024,C50 15aug24 0.1m,-4.045379272,0.049866712,-26.19895807,0.15670329,6/6/2025,CCR11
CCR,C50,50,1.5,8/14/2024,C50 15aug24 1.5m,-4.063604914,0.059782419,-26.13867297,0.162330473,6/6/2025,CCR11
CCR,C50,50,20,8/14/2024,C50 15aug24 20m,-5.348673552,0.044532522,-32.38188049,0.169278844,6/9/2025,CCR12
CCR,C50,50,6,8/14/2024,C50 15aug24 6m,-4.430674841,0.023092662,-27.98227201,0.320004834,6/6/2025,CCR11
CCR,C50,50,9,8/14/2024,C50 15aug24 9m,-5.064380275,0.033684623,-31.00289898,0.233072599,6/6/2025,CCR11
CCR,CC4,88,0.1,8/14/2024,CC4 15aug24 0.1m,-4.095135993,0.038700993,-26.10662293,0.183771605,6/6/2025,CCR11
CCR,CC4,88,1.5,8/14/2024,CC4 15aug24 1.5m,-4.047212939,0.05399015,-26.35351415,0.071203866,6/6/2025,CCR11
CCR,CC4,88,6,8/14/2024,CC4 15aug24 6m,-4.203028837,0.047080658,-27.12828586,0.172338207,6/6/2025,CCR11
CCR,CC4,88,9,8/14/2024,CC4 15aug24 9m,-5.202572515,0.027404053,-31.33431816,0.052295916,6/6/2025,CCR11
CCR,CC4,88,10,8/14/2024,CC4 15aug24 BOT,-5.175320198,0.046484009,-32.00757751,0.228628929,5/28/2025,CCR4
CCR,CC3,90,0.1,8/14/2024,CC3 15aug24 0.1m,-4.163347493,0.065504248,-25.82824638,0.055962467,3/14/2025,CCR1
CCR,CC3,90,1.5,8/14/2024,CC3 15aug24 1.5m,-4.04675888,0.042822979,-25.64613612,0.163754905,6/4/2025,CCR9
CCR,CC3,90,4,8/14/2024,CC3 15aug24 BOT,-4.026228757,0.031383602,-26.12010492,0.333241674,6/6/2025,CCR11
CCR,CC2,92,0.1,8/14/2024,CC2 15aug24 0.1m,-3.904552775,0.029201436,-26.41183387,0.068642381,6/2/2025,CCR7
CCR,CC2,92,0.5,8/14/2024,CC2 15aug24 BOT,-4.056380989,0.02029381,-26.143791,0.385249324,3/17/2025,CCR2
CCR,CP2,96,0.1,8/14/2024,CP2 15aug24 0.1m,-4.530404177,0.047749719,-28.69007855,0.231370702,6/6/2025,CCR11
CCR,CP1,98,0.1,8/14/2024,CP1 15aug24 0.1m,-5.407426529,0.031093503,-33.38578607,0.216333428,3/17/2025,CCR2
CCR,CS2,100,0.1,8/14/2024,CS2 15aug24 0.1m,-6.382777612,0.034360627,-37.71284019,0.304394407,3/17/2025,CCR2
CCR,CS1,101,0.1,8/14/2024,CS1 15aug24 0.1m,-6.35686971,0.015853883,-37.5941415,0.255834988,3/14/2025,CCR1
CCR,C50,50,0.1,9/16/2024,C50 16sep24 0.1m,-3.737797354,0.013337379,-25.08782447,0.120891029,5/28/2025,CCR4
CCR,C50,50,1.5,9/16/2024,C50 16sep24 1.5m,-3.72577222,0.109453243,-25.76587555,0.382305525,6/2/2025,CCR7
CCR,C50,50,20,9/16/2024,C50 16sep24 20m,-5.315001411,0.061411998,-32.26051083,0.082776426,6/9/2025,CCR12
CCR,C50,50,6,9/16/2024,C50 16sep24 6m,-3.760951552,0.017560342,-25.17475767,0.323414141,5/29/2025,CCR5
CCR,C50,50,9,9/16/2024,C50 16sep24 9m,-5.379984999,0.025785287,-30.34092612,0.110064038,5/30/2025,CCR6
CCR,CC4,88,0.1,9/16/2024,CC4 16sep24 0.1m,-3.889834747,0.041660634,-24.93429287,0.242059406,3/18/2025,CCR3
CCR,CC4,88,1.5,9/16/2024,CC4 16sep24 1.5m,-3.719594057,0.078393334,-24.68691696,0.178294141,5/28/2025,CCR4
CCR,CC4,88,6,9/16/2024,CC4 16sep24 6m,-3.754355352,0.037334821,-25.20070549,0.241557135,3/17/2025,CCR2
CCR,CC4,88,9,9/16/2024,CC4 16sep24 9m,-5.123813661,0.047881978,-31.36666229,0.130149308,3/17/2025,CCR2
CCR,CC4,88,10,9/16/2024,CC4 16sep24 BOT,-5.394602583,0.062621102,-31.92978283,0.115419682,3/17/2025,CCR2
CCR,CC3,90,0.1,9/16/2024,CC3 16sep24 0.1m,-3.724643159,0.022753164,-24.90029869,0.293416015,3/18/2025,CCR3
CCR,CC3,90,1.5,9/16/2024,CC3 16sep24 1.5m,-3.790742444,0.056571546,-24.84914267,0.133027247,3/18/2025,CCR3
CCR,CC3,90,3,9/16/2024,CC3 16sep24 BOT,-3.81229194,0.0575887,-25.05094485,0.226779931,3/18/2025,CCR3
CCR,CC2,92,0.1,9/16/2024,CC2 16sep24 0.1m,-4.342574149,0.017365969,-26.76883294,0.100665643,3/17/2025,CCR2
